Group,,Calculated Quantities,,,,,,,Geometry Calculations,,,User Categorised Properties
Unit Type,,Length,Length,Length,Area,Area,Volume,Area,Numeric,Numeric,Numeric,Text
Unit,,m,m,m,m2,m2,m3,m2,Ea.,Ea.,Ea.,
Owner ID,Property Owner Type,Bounding Box Height,Bounding Box Length,Bounding Box Width,Calculated Gross Area,Calculated Surface Area,Calculated Volume,Largest Projected Area,Max Z,Min Z,Triangle Count,Target Category
b0dbf595-b6b8-cd5d-0000-00000000038a,Element,9.77,444.53,42.89,796.97,796.97,54.68,0,202.51,192.74,10356,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038b,Element,9.55,444.47,42.60,141.95,141.95,3.45,0,202.4,192.85,8332,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038c,Element,19.63,476.46,47.96,859.89,859.89,93.75,0,198.42,178.8,1804,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038d,Element,19.47,476.46,47.96,856.01,856.01,58.73,0,197.94,178.48,9186,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038e,Element,19.25,476.38,47.67,152.47,152.47,3.69,0,197.83,178.59,7374,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038f,Element,10.86,414.33,10.36,732.14,732.14,79.71,0,179.27,168.41,2764,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000390,Element,10.7,414.33,10.36,728.87,728.87,49.97,0,178.79,168.09,13932,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000391,Element,10.48,414.29,10.06,129.82,129.82,3.28,0,178.68,168.2,11160,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000392,Element,2.19,1.86,0.40,4.19,4.19,0.36,0,134.64,132.46,12,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000393,Element,2.03,1.86,0.40,4.14,4.14,0.22,0,134.16,132.14,80,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000394,Element,1.81,1.86,0.10,0.70,0.70,0.01,0,134.05,132.25,60,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000395,Element,0.91,2.99,0.40,5.72,5.72,0.57,0,132.92,132.02,36,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000396,Element,0.75,2.99,0.40,5.56,5.56,0.36,0,132.44,131.7,200,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000397,Element,0.53,2.99,0.10,0.96,0.96,0.02,0,132.33,131.81,156,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000398,Element,2.59,29.11,0.40,53.67,53.67,5.59,0,116.5,113.91,188,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000399,Element,2.43,29.11,0.40,53.76,53.76,3.50,0,116.02,113.59,960,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000039a,Element,2.21,29.11,0.10,9.56,9.56,0.22,0,115.91,113.7,764,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000039b,Element,15.2,371.88,110.29,800.81,800.81,87.16,0,168.86,153.67,3216,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000039c,Element,15.04,371.88,110.29,797.42,797.42,54.65,0,168.38,153.35,16704,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000039d,Element,14.82,371.68,110.05,142.03,142.03,3.45,0,168.27,153.46,13480,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000039e,Element,9.74,15.71,0.40,30.26,30.26,3.02,0,163.34,153.59,36,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000039f,Element,9.58,15.71,0.40,30.44,30.44,1.89,0,162.86,153.27,200,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a0,Element,9.36,15.71,0.10,5.36,5.36,0.12,0,162.75,153.38,156,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a1,Element,7.72,28.51,0.40,52.70,52.70,5.48,0,164.04,156.32,140,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a2,Element,7.56,28.51,0.40,52.77,52.77,3.43,0,163.56,156,720,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a3,Element,7.34,28.51,0.10,9.36,9.36,0.22,0,163.45,156.11,572,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a4,Element,1.32,24.49,0.40,43.62,43.62,4.70,0,131.1,129.78,244,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a5,Element,1.16,24.49,0.40,43.32,43.32,2.95,0,130.62,129.46,1240,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a6,Element,0.94,24.49,0.10,7.69,7.69,0.19,0,130.51,129.57,988,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a7,Element,0.55,1.6,0.40,3.20,3.20,0.31,0,131.22,130.68,12,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a8,Element,0.39,1.6,0.40,3.04,3.04,0.19,0,130.74,130.36,80,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003a9,Element,0.17,1.6,0.10,0.51,0.51,0.01,0,130.63,130.47,60,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003aa,Element,1.23,6.19,0.40,11.44,11.44,1.19,0,131.09,129.86,28,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ab,Element,1.07,6.19,0.40,11.28,11.28,0.74,0,130.61,129.54,160,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ac,Element,0.85,6.19,0.10,1.98,1.98,0.05,0,130.5,129.65,124,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ad,Element,5.62,14.73,0.40,28.64,28.64,2.83,0,137.5,131.88,28,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ae,Element,5.46,14.73,0.40,28.85,28.85,1.77,0,137.02,131.56,160,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003af,Element,5.24,14.73,0.10,5.09,5.09,0.11,0,136.91,131.67,124,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b0,Element,0.82,8.32,0.40,15.12,15.12,1.60,0,131.15,130.34,68,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b1,Element,0.66,8.32,0.40,14.93,14.93,1.00,0,130.67,130.02,360,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b2,Element,0.44,8.32,0.10,2.63,2.63,0.06,0,130.56,130.13,284,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b3,Element,0.78,9.67,0.40,17.40,17.40,1.86,0,132.44,131.66,36,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b4,Element,0.62,9.67,0.40,17.18,17.18,1.16,0,131.96,131.34,200,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b5,Element,0.4,9.67,0.10,3.03,3.03,0.07,0,131.85,131.45,156,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b6,Element,0.83,8.77,0.40,15.83,15.83,1.68,0,132.57,131.74,28,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b7,Element,0.67,8.77,0.40,15.62,15.62,1.06,0,132.09,131.42,160,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b8,Element,0.45,8.77,0.10,2.75,2.75,0.07,0,131.98,131.53,124,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003b9,Element,1.8,10.18,0.40,19.23,19.23,1.96,0,132.26,130.46,84,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ba,Element,1.64,10.18,0.40,19.21,19.21,1.23,0,131.78,130.14,440,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003bb,Element,1.42,10.18,0.10,3.39,3.39,0.08,0,131.67,130.25,348,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003bc,Element,13.4,18.76,0.98,38.60,38.60,3.61,0,145.14,131.74,80,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003bd,Element,13.24,18.76,0.98,39.40,39.40,2.26,0,144.66,131.42,436,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003be,Element,13.02,18.73,0.68,6.97,6.97,0.14,0,144.55,131.53,348,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003bf,Element,1.7,53.22,0.78,94.09,94.09,10.22,0,142.11,140.42,124,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c0,Element,1.54,53.22,0.78,93.53,93.53,6.40,0,141.63,140.1,664,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c1,Element,1.32,53.21,0.48,16.63,16.63,0.41,0,141.52,140.21,532,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c2,Element,9.27,94.59,9.86,176.56,176.56,18.92,0,157.44,148.17,516,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c3,Element,9.11,94.59,9.86,175.92,175.92,11.86,0,156.96,147.85,2720,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c4,Element,8.89,94.5,9.59,31.30,31.30,0.75,0,156.85,147.96,2196,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c5,Element,1.27,97.29,1.53,171.67,171.67,18.69,0,161.93,160.66,488,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c6,Element,1.11,97.29,1.53,170.77,170.77,11.71,0,161.45,160.34,2060,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c7,Element,0.89,97.28,1.23,30.40,30.40,0.75,0,161.34,160.45,1564,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c8,Element,0.8,27.94,0.44,49.63,49.63,5.37,0,162.5,161.7,164,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003c9,Element,0.64,27.94,0.44,49.28,49.28,3.36,0,162.02,161.38,832,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ca,Element,0.42,27.94,0.14,8.75,8.75,0.21,0,161.91,161.49,660,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003cb,Element,1.76,22.29,1.74,40.51,40.51,4.30,0,162.72,160.95,324,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003cc,Element,1.6,22.29,1.74,40.24,40.24,2.70,0,162.24,160.63,1704,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003cd,Element,1.38,22.26,1.45,7.14,7.14,0.17,0,162.13,160.74,1372,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ce,Element,14.53,31.36,0.40,59.32,59.32,6.02,0,163.97,149.45,140,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003cf,Element,14.37,31.36,0.40,59.68,59.68,3.77,0,163.49,149.13,720,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d0,Element,14.15,31.36,0.10,10.55,10.55,0.24,0,163.38,149.24,572,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d1,Element,6.04,12.63,0.40,23.83,23.83,2.42,0,160.96,154.92,20,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d2,Element,5.88,12.63,0.40,23.83,23.83,1.52,0,160.48,154.6,120,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d3,Element,5.66,12.63,0.10,4.20,4.20,0.10,0,160.37,154.71,92,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d4,Element,3.75,52.48,4.36,93.98,93.98,10.16,0,161.63,157.88,272,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d5,Element,3.59,52.48,4.36,93.46,93.46,6.37,0,161.15,157.56,1412,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d6,Element,3.37,52.44,4.06,16.62,16.62,0.41,0,161.04,157.67,1132,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d7,Element,10.02,97.29,4.06,176.82,176.82,18.78,0,162.87,152.85,424,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d8,Element,9.86,97.29,4.06,176.80,176.80,11.77,0,162.39,152.53,2212,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003d9,Element,9.64,97.24,3.77,31.43,31.43,0.75,0,162.28,152.64,1780,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003da,Element,4.73,110.37,1.00,194.71,194.71,21.19,0,121.09,116.36,396,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003db,Element,4.57,110.37,1.00,193.71,193.71,13.28,0,120.61,116.04,2012,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003dc,Element,4.35,110.37,0.70,34.48,34.48,0.85,0,120.5,116.15,1608,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003dd,Element,5.49,327.52,11.13,578.41,578.41,63.05,0,120.17,114.67,836,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003de,Element,5.33,327.52,11.13,575.69,575.69,39.52,0,119.69,114.35,4200,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003df,Element,5.11,327.49,10.83,102.53,102.53,2.51,0,119.58,114.46,3356,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e0,Element,5.89,219.89,5.39,388.37,388.37,42.27,0,125.95,120.06,548,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e1,Element,5.73,219.89,5.39,386.60,386.60,26.49,0,125.47,119.74,2888,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e2,Element,5.51,219.86,5.09,68.84,68.84,1.68,0,125.36,119.85,2332,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e3,Element,0.55,3.15,0.40,5.93,5.93,0.60,0,120.29,119.73,12,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e4,Element,0.39,3.15,0.40,5.76,5.76,0.38,0,119.81,119.41,80,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e5,Element,0.17,3.15,0.10,1.00,1.00,0.02,0,119.7,119.52,60,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e6,Element,12.25,473.89,23.40,839.64,839.64,91.54,0,137.8,125.55,1116,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e7,Element,12.09,473.89,23.40,835.78,835.78,57.37,0,137.32,125.23,5904,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e8,Element,11.87,473.83,23.10,148.86,148.86,3.67,0,137.21,125.34,4780,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003e9,Element,3.49,121.79,1.80,214.82,214.82,23.39,0,140.9,137.41,284,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ea,Element,3.33,121.79,1.80,213.73,213.73,14.66,0,140.42,137.09,1504,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003eb,Element,3.11,121.78,1.50,38.05,38.05,0.93,0,140.31,137.2,1212,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ec,Element,2.96,65.99,2.17,117.30,117.30,12.70,0,142.09,139.13,336,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ed,Element,2.8,65.99,2.17,116.65,116.65,7.96,0,141.61,138.81,1828,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ee,Element,2.58,65.92,1.89,20.76,20.76,0.51,0,141.5,138.92,1484,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ef,Element,3.39,198.88,2.99,351.33,351.33,38.26,0,140.33,136.93,824,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f0,Element,3.23,198.88,2.99,349.64,349.64,23.98,0,139.85,136.61,4440,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f1,Element,3.01,198.86,2.69,62.26,62.26,1.52,0,139.74,136.72,3608,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f2,Element,5.18,167.61,4.74,296.06,296.06,32.24,0,145.15,139.97,612,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f3,Element,5.02,167.61,4.74,294.61,294.61,20.21,0,144.67,139.65,3184,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f4,Element,4.8,167.56,4.44,52.46,52.46,1.29,0,144.56,139.76,2564,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f5,Element,6.26,152.76,3.05,269.62,269.62,29.36,0,150.57,144.3,576,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f6,Element,6.1,152.76,3.05,268.31,268.31,18.40,0,150.09,143.98,2960,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f7,Element,5.88,152.74,2.75,47.77,47.77,1.17,0,149.98,144.09,2376,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f8,Element,9.1,388.85,9.47,692.10,692.10,75.38,0,170.13,161.03,1532,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003f9,Element,8.94,388.85,9.47,688.90,688.90,47.24,0,169.65,160.71,7844,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003fa,Element,8.72,388.8,9.19,122.70,122.70,3.03,0,169.54,160.82,6304,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003fb,Element,5.71,63.71,2.52,113.12,113.12,12.26,0,154.45,148.73,396,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003fc,Element,5.55,63.71,2.52,112.54,112.54,7.68,0,153.97,148.41,2220,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003fd,Element,5.33,63.68,2.22,20.02,20.02,0.49,0,153.86,148.52,1816,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003fe,Element,2.93,62.17,0.68,109.84,109.84,11.94,0,156.9,153.97,736,CONDUIT
b0dbf595-b6b8-cd5d-0000-0000000003ff,Element,2.77,62.17,0.68,109.22,109.22,7.48,0,156.42,153.65,3352,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000400,Element,2.55,62.16,0.38,19.43,19.43,0.48,0,156.31,153.76,2608,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000401,Element,2.42,97.49,3.93,172.81,172.81,18.80,0,158.36,155.94,1360,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000402,Element,2.26,97.49,3.93,171.93,171.93,11.78,0,157.88,155.62,6504,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000403,Element,2.04,97.46,3.63,30.60,30.60,0.75,0,157.77,155.73,5136,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000404,Element,0.79,43.92,2.54,78.06,78.06,8.47,0,162.69,161.9,384,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000405,Element,0.63,43.92,2.54,77.57,77.57,5.31,0,162.21,161.58,2004,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000406,Element,0.41,43.86,2.24,13.79,13.79,0.34,0,162.1,161.69,1612,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000407,Element,0.65,12.78,0.42,22.87,22.87,2.45,0,157.57,156.92,148,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000408,Element,0.49,12.78,0.42,22.63,22.63,1.54,0,157.09,156.6,568,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000409,Element,0.27,12.78,0.12,4.00,4.00,0.10,0,156.98,156.71,412,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000040a,Element,3.72,323.94,2.30,570.58,570.58,62.20,0,160.86,157.14,2040,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000040b,Element,3.56,323.94,2.30,567.90,567.90,39.00,0,160.38,156.82,8604,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000040c,Element,3.34,323.94,2.00,101.15,101.15,2.47,0,160.27,156.93,6556,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000040d,Element,0.76,34.72,0.40,61.48,61.48,6.67,0,161.14,160.38,76,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000040e,Element,0.6,34.72,0.40,61.07,61.07,4.18,0,160.66,160.06,400,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000040f,Element,0.38,34.72,0.10,10.85,10.85,0.27,0,160.55,160.17,316,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000410,Element,0.74,5.87,0.40,10.72,10.72,1.13,0,193.82,193.08,84,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000411,Element,0.58,5.87,0.40,10.54,10.54,0.71,0,193.34,192.76,440,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000412,Element,0.36,5.87,0.10,1.85,1.85,0.04,0,193.23,192.87,348,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000413,Element,0.7,5.65,0.40,10.47,10.47,1.08,0,168.88,168.18,92,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000414,Element,0.54,5.65,0.40,10.32,10.32,0.68,0,168.4,167.86,480,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000415,Element,0.32,5.65,0.10,1.81,1.81,0.04,0,168.29,167.97,380,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000416,Element,0.91,14.41,0.40,25.76,25.76,2.77,0,132.14,131.23,52,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000417,Element,0.75,14.41,0.40,25.50,25.50,1.73,0,131.66,130.91,280,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000418,Element,0.53,14.41,0.10,4.52,4.52,0.11,0,131.55,131.02,220,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000419,Element,0.92,14.51,0.40,25.93,25.93,2.79,0,132.13,131.21,60,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000041a,Element,0.76,14.51,0.40,25.67,25.67,1.75,0,131.65,130.89,320,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000041b,Element,0.54,14.51,0.10,4.55,4.55,0.11,0,131.54,131,252,CONDUIT
