Group,,Calculated Quantities,,,,,,,Geometry Calculations,,,User Categorised Properties
Unit Type,,Length,Length,Length,Area,Area,Volume,Area,Numeric,Numeric,Numeric,Text
Unit,,m,m,m,m2,m2,m3,m2,Ea.,Ea.,Ea.,
Owner ID,Property Owner Type,Bounding Box Height,Bounding Box Length,Bounding Box Width,Calculated Gross Area,Calculated Surface Area,Calculated Volume,Largest Projected Area,Max Z,Min Z,Triangle Count,Target Category
a327ab58-8b35-eff0-0000-000000005154,Element,0.34,25,0.55,31.15,31.15,1.30,0,161.54,161.19,48,PLANTING
a327ab58-8b35-eff0-0000-000000005188,Element,4.53,94.96,10.69,59.67,59.67,3.16,0,162.81,158.28,210,PLANTING
a327ab58-8b35-eff0-0000-00000000518a,Element,0.53,29.61,2.57,113.31,113.31,5.21,0,162.93,162.4,224,PLANTING
a327ab58-8b35-eff0-0000-00000000518b,Element,1.14,26.23,2.69,123.76,123.76,6.58,0,162.82,161.68,328,PLANTING
a327ab58-8b35-eff0-0000-00000000518c,Element,1.03,26.23,2.45,120.88,120.88,22.28,0,162.72,161.69,208,PLANTING
a327ab58-8b35-eff0-0000-00000000518f,Element,1.73,27.36,3.82,130.43,130.43,6.94,0,159.04,157.3,662,PLANTING
a327ab58-8b35-eff0-0000-000000005193,Element,0.98,26.62,3.27,103.47,103.47,4.75,0,159.45,158.47,312,PLANTING
a327ab58-8b35-eff0-0000-0000000051a4,Element,0.93,25.34,3.15,99.78,99.78,4.58,0,158.69,157.77,292,PLANTING
a327ab58-8b35-eff0-0000-0000000051a8,Element,1.72,25.52,3.72,123.35,123.35,6.56,0,158.1,156.38,574,PLANTING
a327ab58-8b35-eff0-0000-0000000051a9,Element,0.2,1.61,1.12,2.17,2.17,0.08,0,162.58,162.38,10,PLANTING
a327ab58-8b35-eff0-0000-0000000051be,Element,0.97,35.53,1.87,64.40,64.40,2.85,0,162.44,161.47,240,PLANTING
a327ab58-8b35-eff0-0000-0000000051c1,Element,0.96,35.63,1.59,40.92,40.92,1.60,0,162.39,161.43,284,PLANTING
a327ab58-8b35-eff0-0000-0000000051c2,Element,0.93,25.1,3.04,144.63,144.63,7.47,0,162.7,161.77,272,PLANTING
a327ab58-8b35-eff0-0000-0000000051d5,Element,0.81,2.15,0.00,0.52,0.52,0.00,0,162.83,162.02,20,PLANTING
a327ab58-8b35-eff0-0000-0000000051f9,Element,0.77,4.21,2.65,24.83,24.83,1.26,0,162.51,161.74,32,PLANTING
a327ab58-8b35-eff0-0000-0000000051fa,Element,0.38,8.82,0.56,9.80,9.80,0.38,0,161.54,161.16,90,PLANTING
a327ab58-8b35-eff0-0000-0000000051fd,Element,0.51,12.47,0.92,21.72,21.72,0.96,0,161.65,161.14,96,PLANTING
a327ab58-8b35-eff0-0000-000000005212,Element,2.02,33.79,4.73,158.06,158.06,8.42,0,157.22,155.2,686,PLANTING
a327ab58-8b35-eff0-0000-000000005216,Element,1.01,29.94,3.56,114.52,114.52,5.26,0,157.96,156.95,334,PLANTING
a327ab58-8b35-eff0-0000-00000000521f,Element,0.93,28.29,2.04,86.67,86.67,4.04,0,161.93,161,188,PLANTING
a327ab58-8b35-eff0-0000-000000005222,Element,0.97,31.12,1.24,35.66,35.66,1.39,0,161.94,160.98,242,PLANTING
a327ab58-8b35-eff0-0000-000000005223,Element,0.18,4.21,0.80,7.47,7.47,0.31,0,162.64,162.45,20,PLANTING
a327ab58-8b35-eff0-0000-000000005226,Element,0.17,4.21,0.52,5.33,5.33,0.22,0,162.62,162.45,20,PLANTING
a327ab58-8b35-eff0-0000-00000000523e,Element,0.22,10.38,0.52,13.00,13.00,0.54,0,161.62,161.4,24,PLANTING
a327ab58-8b35-eff0-0000-000000005241,Element,0.23,10.38,0.80,18.21,18.21,0.77,0,161.64,161.4,24,PLANTING
a327ab58-8b35-eff0-0000-000000005258,Element,0.33,31.24,1.34,35.94,35.94,1.40,0,161.23,160.9,252,PLANTING
a327ab58-8b35-eff0-0000-00000000525b,Element,0.34,31.28,1.64,56.86,56.86,2.52,0,161.25,160.9,224,PLANTING
a327ab58-8b35-eff0-0000-00000000525f,Element,0.45,35.85,1.85,65.09,65.09,2.89,0,161.06,160.61,248,PLANTING
a327ab58-8b35-eff0-0000-000000005262,Element,0.41,32.56,1.39,37.41,37.41,1.46,0,161.02,160.61,262,PLANTING
a327ab58-8b35-eff0-0000-000000005276,Element,0.59,50.35,3.39,158.26,158.26,7.39,0,161.18,160.59,312,PLANTING
a327ab58-8b35-eff0-0000-000000005279,Element,0.56,52.98,2.72,61.24,61.24,2.39,0,161.14,160.59,386,PLANTING
a327ab58-8b35-eff0-0000-00000000527a,Element,0.36,25,0.80,43.64,43.64,1.86,0,161.97,161.61,20,PLANTING
a327ab58-8b35-eff0-0000-00000000527d,Element,0.34,25,0.52,31.15,31.15,1.30,0,161.95,161.61,20,PLANTING
a327ab58-8b35-eff0-0000-000000005282,Element,0.36,25,0.80,43.64,43.64,1.86,0,162.01,161.65,36,PLANTING
a327ab58-8b35-eff0-0000-000000005285,Element,0.34,25,0.52,31.15,31.15,1.30,0,161.99,161.65,36,PLANTING
a327ab58-8b35-eff0-0000-0000000052aa,Element,0.37,5.57,1.89,21.94,21.94,0.99,0,156.41,156.04,70,PLANTING
a327ab58-8b35-eff0-0000-0000000052ae,Element,0.88,2.9,1.87,6.67,6.67,0.30,0,156.11,155.23,44,PLANTING
a327ab58-8b35-eff0-0000-0000000052af,Element,0.2,3.16,1.21,8.34,8.34,0.36,0,162.37,162.18,12,PLANTING
a327ab58-8b35-eff0-0000-0000000052b4,Element,0.17,3.16,0.80,5.65,5.65,0.23,0,162.43,162.25,12,PLANTING
a327ab58-8b35-eff0-0000-0000000052b7,Element,0.16,3.16,0.52,4.03,4.03,0.16,0,162.41,162.25,12,PLANTING
a327ab58-8b35-eff0-0000-0000000052e2,Element,0.3,19.65,0.52,24.51,24.51,1.02,0,162.16,161.86,28,PLANTING
a327ab58-8b35-eff0-0000-0000000052e5,Element,0.31,19.65,0.80,34.34,34.34,1.46,0,162.17,161.86,28,PLANTING
a327ab58-8b35-eff0-0000-0000000052ea,Element,0.22,10,0.52,12.52,12.52,0.52,0,162.04,161.82,16,PLANTING
a327ab58-8b35-eff0-0000-0000000052ed,Element,0.23,10,0.80,17.54,17.54,0.74,0,162.06,161.82,18,PLANTING
a327ab58-8b35-eff0-0000-0000000052ee,Element,0.91,26.58,3.04,100.65,100.65,4.62,0,157.11,156.2,276,PLANTING
a327ab58-8b35-eff0-0000-0000000052f9,Element,0.29,4.39,0.51,5.16,5.16,0.20,0,155.93,155.64,68,PLANTING
a327ab58-8b35-eff0-0000-0000000052fc,Element,0.31,4.54,0.82,8.48,8.48,0.37,0,155.95,155.64,78,PLANTING
a327ab58-8b35-eff0-0000-00000000530b,Element,0.79,22.37,1.38,26.01,26.01,1.01,0,155.77,154.98,328,PLANTING
a327ab58-8b35-eff0-0000-00000000530e,Element,0.8,23,1.72,42.45,42.45,1.88,0,155.79,154.98,322,PLANTING
a327ab58-8b35-eff0-0000-000000005313,Element,0.74,17.53,0.95,20.37,20.37,0.79,0,156.05,155.31,208,PLANTING
a327ab58-8b35-eff0-0000-000000005316,Element,0.89,19.69,2.07,62.99,62.99,2.93,0,156.2,155.31,252,PLANTING
a327ab58-8b35-eff0-0000-000000005321,Element,0.88,25.71,0.80,29.86,29.86,1.16,0,155.44,154.56,318,PLANTING
a327ab58-8b35-eff0-0000-000000005324,Element,0.94,25.56,1.79,82.04,82.04,3.82,0,155.5,154.56,304,PLANTING
a327ab58-8b35-eff0-0000-000000005334,Element,1.22,25,1.50,80.50,80.50,3.75,0,157.44,156.22,108,PLANTING
a327ab58-8b35-eff0-0000-000000005337,Element,1.28,25,0.82,46.28,46.28,2.05,0,157.42,156.15,96,PLANTING
a327ab58-8b35-eff0-0000-00000000533c,Element,0.74,12.98,0.82,24.11,24.11,1.06,0,156.29,155.56,68,PLANTING
a327ab58-8b35-eff0-0000-00000000533f,Element,0.78,12.98,1.50,41.95,41.95,1.95,0,156.41,155.63,56,PLANTING
a327ab58-8b35-eff0-0000-0000000000e8,Element,0.25,25.27,0.74,17.46,17.46,0.02,0,168.25,168,20,PLANTING
5760de23-8c37-48eb-a64a-4f4374c19e5a,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,133.6,133.02,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c19d76,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,133.96,133.38,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c19c7a,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,134.31,133.74,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c19b7e,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,134.67,134.1,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c19a42,Element,0.46,8.2,7.00,115.79,115.79,2.29,0,134.92,134.46,9458,ROAD
5760de23-8c37-48eb-a64a-4f4374c19946,Element,0.46,8.19,7.00,115.65,115.65,2.29,0,135.16,134.7,9458,ROAD
5760de23-8c37-48eb-a64a-4f4374c1984a,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,135.52,134.95,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c1974e,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,135.88,135.31,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c19652,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,136.24,135.67,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c19416,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,136.6,136.02,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c1931a,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,136.96,136.38,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c1921e,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,137.32,136.74,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c19034,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,137.67,137.1,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c18f38,Element,0.4,7,6.28,88.74,88.74,1.75,0,137.86,137.46,7600,ROAD
5760de23-8c37-48eb-a64a-4f4374c18e3c,Element,0.4,7,6.27,88.60,88.60,1.75,0,138.05,137.65,7602,ROAD
5760de23-8c37-48eb-a64a-4f4374c18d00,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,138.41,137.83,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c18c04,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,138.77,138.19,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c18b08,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,139.12,138.55,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c18944,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,139.48,138.91,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c18848,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,139.84,139.27,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c1874c,Element,0.57,11.98,7.00,168.88,168.88,3.35,0,140.2,139.63,10912,ROAD
5760de23-8c37-48eb-a64a-4f4374c18650,Element,0.48,8.94,7.00,126.21,126.21,2.50,0,140.46,139.98,10446,ROAD
5760de23-8c37-48eb-a64a-4f4374c18554,Element,0.47,8.95,7.00,126.35,126.35,2.50,0,140.72,140.25,9986,ROAD
5760de23-8c37-48eb-a64a-4f4374c18458,Element,0.55,11.97,7.00,168.73,168.73,3.35,0,141.06,140.5,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1835c,Element,0.55,11.99,7.00,169.01,169.01,3.35,0,141.39,140.84,10998,ROAD
5760de23-8c37-48eb-a64a-4f4374c182a0,Element,0.54,11.97,7.00,168.72,168.72,3.35,0,141.71,141.17,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c181a4,Element,0.53,11.98,7.00,168.86,168.86,3.35,0,142.03,141.5,10940,ROAD
5760de23-8c37-48eb-a64a-4f4374c180a8,Element,0.52,11.98,7.00,168.86,168.86,3.35,0,142.33,141.81,10940,ROAD
5760de23-8c37-48eb-a64a-4f4374c1bfac,Element,0.51,11.98,7.00,168.86,168.86,3.35,0,142.63,142.12,10940,ROAD
5760de23-8c37-48eb-a64a-4f4374c1beb0,Element,0.51,11.98,7.00,168.85,168.85,3.35,0,142.92,142.42,10940,ROAD
5760de23-8c37-48eb-a64a-4f4374c1bdb4,Element,0.5,11.98,7.00,168.85,168.85,3.35,0,143.21,142.71,10940,ROAD
5760de23-8c37-48eb-a64a-4f4374c1bab0,Element,0.49,11.98,7.00,168.85,168.85,3.35,0,143.48,142.99,10940,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b9b4,Element,0.48,11.98,7.00,168.84,168.84,3.35,0,143.75,143.27,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b8b8,Element,0.47,11.98,7.00,168.84,168.84,3.35,0,144.01,143.53,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b6dc,Element,0.47,11.98,7.03,169.49,169.49,3.36,0,144.26,143.79,11207,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b620,Element,0.46,11.98,7.03,169.48,169.48,3.36,0,144.5,144.04,11227,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b34c,Element,0.39,8.81,7.00,124.35,124.35,2.46,0,144.68,144.29,9750,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b200,Element,0.58,15.15,9.94,302.16,302.16,6.01,0,144.97,144.39,19226,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b104,Element,0.51,11.98,9.94,239.11,239.11,4.75,0,145.19,144.68,10934,ROAD
5760de23-8c37-48eb-a64a-4f4374c1b008,Element,0.5,11.98,9.94,239.11,239.11,4.75,0,145.4,144.9,10934,ROAD
5760de23-8c37-48eb-a64a-4f4374c1af0c,Element,0.44,9.94,9.01,180.09,180.09,3.57,0,145.55,145.11,9758,ROAD
5760de23-8c37-48eb-a64a-4f4374c1adb0,Element,0.41,11.58,7.00,163.20,163.20,3.24,0,145.74,145.34,11024,ROAD
5760de23-8c37-48eb-a64a-4f4374c1acb4,Element,0.4,11.97,7.00,168.68,168.68,3.34,0,145.93,145.53,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1abb8,Element,0.4,11.99,7.00,168.96,168.96,3.35,0,146.12,145.72,10998,ROAD
5760de23-8c37-48eb-a64a-4f4374c1aabc,Element,0.39,11.97,7.00,168.68,168.68,3.34,0,146.29,145.9,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a980,Element,0.38,11.99,7.00,168.96,168.96,3.35,0,146.46,146.07,10998,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a884,Element,0.37,11.98,7.00,168.82,168.82,3.35,0,146.61,146.24,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a788,Element,0.37,11.98,7.00,168.82,168.82,3.35,0,146.77,146.4,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a68c,Element,0.36,11.98,7.00,168.81,168.81,3.35,0,146.91,146.55,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a590,Element,0.35,11.98,7.00,168.81,168.81,3.35,0,147.04,146.69,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a494,Element,0.34,11.98,7.00,168.81,168.81,3.35,0,147.17,146.83,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a398,Element,0.33,11.98,7.00,168.81,168.81,3.35,0,147.29,146.95,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a29c,Element,0.33,11.98,7.00,168.81,168.81,3.35,0,147.4,147.07,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a1e0,Element,0.32,11.98,7.00,168.81,168.81,3.35,0,147.5,147.18,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c1a0e4,Element,0.31,11.98,7.00,168.81,168.81,3.35,0,147.6,147.29,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c15fe8,Element,0.3,11.97,7.00,168.81,168.81,3.35,0,147.68,147.38,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c15eec,Element,0.29,11.97,7.00,168.81,168.81,3.35,0,147.76,147.47,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c15df0,Element,0.29,11.97,7.00,168.81,168.81,3.35,0,147.83,147.55,10936,ROAD
5760de23-8c37-48eb-a64a-4f4374c15cf4,Element,0.28,11.97,7.00,168.80,168.80,3.35,0,147.9,147.62,10976,ROAD
5760de23-8c37-48eb-a64a-4f4374c15bf8,Element,0.27,11.97,7.00,168.81,168.81,3.35,0,147.95,147.68,11002,ROAD
5760de23-8c37-48eb-a64a-4f4374c15afc,Element,0.24,7,6.48,91.66,91.66,1.81,0,147.98,147.74,7996,ROAD
5760de23-8c37-48eb-a64a-4f4374c159c0,Element,0.24,7,6.48,91.66,91.66,1.81,0,148,147.76,7996,ROAD
5760de23-8c37-48eb-a64a-4f4374c158c4,Element,0.25,11.97,7.00,168.94,168.94,3.35,0,148.04,147.79,11006,ROAD
5760de23-8c37-48eb-a64a-4f4374c157c8,Element,0.25,11.96,7.00,168.80,168.80,3.35,0,148.07,147.83,10998,ROAD
5760de23-8c37-48eb-a64a-4f4374c156cc,Element,0.24,11.96,7.00,168.81,168.81,3.35,0,148.1,147.86,11002,ROAD
5760de23-8c37-48eb-a64a-4f4374c155d0,Element,0.23,11.95,7.00,168.81,168.81,3.35,0,148.11,147.88,11004,ROAD
5760de23-8c37-48eb-a64a-4f4374c154d4,Element,0.22,11.95,7.00,168.81,168.81,3.35,0,148.12,147.9,11008,ROAD
5760de23-8c37-48eb-a64a-4f4374c153d8,Element,0.22,11.95,7.00,168.80,168.80,3.35,0,148.12,147.9,11006,ROAD
5760de23-8c37-48eb-a64a-4f4374c152dc,Element,0.22,11.95,7.00,168.81,168.81,3.35,0,148.12,147.89,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c15220,Element,0.23,11.95,7.00,168.82,168.82,3.35,0,148.11,147.88,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c15124,Element,0.24,11.95,7.00,168.82,168.82,3.35,0,148.09,147.85,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c14ba0,Element,0.25,11.95,7.00,168.81,168.81,3.35,0,148.07,147.82,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c14aa4,Element,0.26,11.95,7.00,168.82,168.82,3.35,0,148.03,147.78,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c149a8,Element,0.26,11.95,7.00,168.82,168.82,3.35,0,147.99,147.73,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c148ac,Element,0.27,11.95,7.00,168.82,168.82,3.35,0,147.94,147.67,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c147b0,Element,0.28,11.95,7.00,168.82,168.82,3.35,0,147.89,147.61,1857,ROAD
5760de23-8c37-48eb-a64a-4f4374c146b4,Element,0.29,11.95,7.00,168.82,168.82,3.35,0,147.82,147.54,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c145b8,Element,0.3,11.95,7.00,168.82,168.82,3.35,0,147.75,147.46,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c144bc,Element,0.3,11.95,7.00,168.81,168.81,3.35,0,147.67,147.37,11006,ROAD
5760de23-8c37-48eb-a64a-4f4374c14380,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,147.58,147.28,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c14284,Element,0.31,11.96,7.00,168.96,168.96,3.35,0,147.49,147.19,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c14188,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,147.4,147.1,1751,ROAD
5760de23-8c37-48eb-a64a-4f4374c1408c,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,147.31,147.01,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17f90,Element,0.27,7,6.81,96.45,96.45,1.91,0,147.22,146.95,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17e94,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,147.17,146.86,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17b40,Element,0.31,11.95,7.03,169.47,169.47,3.36,0,147.08,146.77,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c179b8,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.99,146.68,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c178bc,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.9,146.59,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17708,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.81,146.5,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c1760c,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.72,146.41,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17510,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.63,146.32,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17414,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.54,146.23,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17318,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.45,146.14,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c1721c,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.36,146.05,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c17008,Element,0.31,11.95,7.00,168.82,168.82,3.35,0,146.27,145.96,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c16f0c,Element,0.26,7,6.60,93.49,93.49,1.85,0,146.18,145.91,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c16e10,Element,0.26,7,6.60,93.49,93.49,1.85,0,146.13,145.86,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c16cc4,Element,0.26,7.03,6.00,85.37,85.37,1.69,0,146.08,145.82,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c16b3c,Element,0.34,16.5,7.00,232.88,232.88,4.62,0,146.03,145.69,28,ROAD
5760de23-8c37-48eb-a64a-4f4374c16a00,Element,0.25,7,4.50,63.92,63.92,1.26,0,145.91,145.66,28,ROAD
99292c19-8eb6-44ab-9757-345cb43e79d7,Element,0.68,11.98,7.00,168.88,168.88,3.35,0,131.89,131.21,10940,ROAD
99292c19-8eb6-44ab-9757-345cb43e796f,Element,0.68,11.98,7.00,168.88,168.88,3.35,0,132.25,131.57,10940,ROAD
99292c19-8eb6-44ab-9757-345cb43e7927,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,132.61,131.93,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e78ff,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,132.97,132.29,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e78b7,Element,0.57,8.21,7.00,115.78,115.78,2.29,0,133.21,132.65,9458,ROAD
99292c19-8eb6-44ab-9757-345cb43e784f,Element,0.56,8.2,7.00,115.65,115.65,2.29,0,133.46,132.89,9458,ROAD
99292c19-8eb6-44ab-9757-345cb43e7807,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,133.82,133.14,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e7bdf,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,134.18,133.5,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e7b97,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,134.53,133.86,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e7b2f,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,134.89,134.21,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e7ae7,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,135.25,134.57,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e7abf,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,135.61,134.93,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e7a77,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,135.97,135.29,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e7a0f,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,136.33,135.65,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e05c7,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,136.69,136.01,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e059f,Element,0.55,7.64,7.00,107.90,107.90,2.14,0,136.91,136.37,9064,ROAD
99292c19-8eb6-44ab-9757-345cb43e0557,Element,0.55,7.64,7.00,107.90,107.90,2.14,0,137.14,136.59,9064,ROAD
99292c19-8eb6-44ab-9757-345cb43e04ef,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,137.5,136.82,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e04a7,Element,0.68,11.99,7.00,168.87,168.87,3.35,0,137.86,137.18,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e047f,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,138.22,137.54,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e0437,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,138.58,137.9,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e07cf,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,138.94,138.26,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e0787,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,139.29,138.62,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e075f,Element,0.66,11.44,7.00,161.29,161.29,3.20,0,139.64,138.97,11136,ROAD
99292c19-8eb6-44ab-9757-345cb43e0717,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,139.99,139.32,10998,ROAD
99292c19-8eb6-44ab-9757-345cb43e06af,Element,0.68,11.99,7.00,168.88,168.88,3.35,0,140.35,139.67,10994,ROAD
99292c19-8eb6-44ab-9757-345cb43e0667,Element,0.67,11.99,7.00,168.87,168.87,3.35,0,140.71,140.03,10964,ROAD
99292c19-8eb6-44ab-9757-345cb43e063f,Element,0.67,11.99,7.00,168.87,168.87,3.35,0,141.05,140.39,10964,ROAD
99292c19-8eb6-44ab-9757-345cb43e01f7,Element,0.66,11.99,7.00,168.87,168.87,3.35,0,141.39,140.73,10964,ROAD
99292c19-8eb6-44ab-9757-345cb43e018f,Element,0.65,11.99,7.00,168.87,168.87,3.35,0,141.72,141.07,10964,ROAD
99292c19-8eb6-44ab-9757-345cb43e0147,Element,0.64,11.99,7.00,168.86,168.86,3.35,0,142.04,141.4,10964,ROAD
99292c19-8eb6-44ab-9757-345cb43e011f,Element,0.63,11.99,7.00,168.86,168.86,3.35,0,142.35,141.72,10954,ROAD
99292c19-8eb6-44ab-9757-345cb43e00d7,Element,0.63,11.99,7.00,168.86,168.86,3.35,0,142.66,142.03,10944,ROAD
99292c19-8eb6-44ab-9757-345cb43e006f,Element,0.62,11.99,7.00,168.85,168.85,3.35,0,142.96,142.34,10944,ROAD
99292c19-8eb6-44ab-9757-345cb43e0027,Element,0.61,11.99,7.00,168.85,168.85,3.35,0,143.25,142.64,10944,ROAD
99292c19-8eb6-44ab-9757-345cb43e03ff,Element,0.6,11.99,7.00,168.85,168.85,3.35,0,143.53,142.93,10920,ROAD
99292c19-8eb6-44ab-9757-345cb43e03b7,Element,0.59,11.99,7.02,169.49,169.49,3.36,0,143.8,143.21,11032,ROAD
99292c19-8eb6-44ab-9757-345cb43e034f,Element,0.59,11.99,7.00,168.84,168.84,3.35,0,144.07,143.48,10920,ROAD
99292c19-8eb6-44ab-9757-345cb43e0307,Element,0.53,9.68,7.00,136.46,136.46,2.70,0,144.28,143.75,10198,ROAD
